species name,Sex,Overall appearance: &lt;Colouring&gt;,Length of prosoma [mm],Length of prosoma by range [mm],Length of femur I : &lt;relative to prosoma&gt;,Prosoma: &lt;appearance&gt;,Fovea clearly visible as darkened groove,Opisthosoma: &lt;appearance&gt;,Dorsal spines on femur I: &lt;count&gt;,Posterior eye row: &lt;form&gt;,Posterior median eye (PME) separation: &lt;relative to diameter (d)&gt;,Headregion of male: &lt;appearance&gt;,Eyes: &lt;appearance&gt;,Anterior median eyes: &lt;size relative to anterior lateral eyes ALE&gt;,Prolateral spines on femur I: &lt;count&gt;,Prolateral spines on tibia I: &lt;count&gt;,Anterior cheliceral teeth: &lt;appearance&gt;,Conspicuous structures on chelicerae: &lt;appearance&gt;,Maxillae: &lt;appearance&gt;,Sternum: &lt;appearance&gt;,Sternum: &lt;extends between coxae IV&gt;,Width of sternum between coxae IV: &lt;relative to width of coxae IV (d)&gt;,Position of trichobothrium on metatarsus I (TmI): &lt;relative to metatarsus&gt;,Position of TmI by range: &lt;relative to metatarsus&gt;,Metatarsus IV dorsally: &lt;presence of trichobothrium (TmIV)&gt;,Dorsal spines on metatarsus I: &lt;count&gt;,Tibia IV: &lt;number of dorsal spines&gt;,"Numbers of dorsal spines on tibia I, II, III, IV: &lt;tibial spine formula&gt;",Tibia I-II ventrally: &lt;presence of spines&gt;,Male pedipalp: femur &lt;appearance&gt;,Male pedipalp: patella &lt;appearance&gt;,Male pedipalp: tibia &lt;appearance&gt;,Male pedipalp: cymbium &lt;appearance&gt;,Male pedipalp: paracymbium &lt;form&gt;,Male pedipalp: branches of paracymbium &lt;presence of teeth&gt;,Male pedipalp: embolus &lt;appearance&gt;,Male pedipalp: lamella characteristica &lt;presence&gt;,Distribution,Female palp: claw &lt;presence&gt;,Epigyne: &lt;appearance&gt;,Epigyne: &lt;form&gt;,Epigyne: &lt;seminal receptacles&gt;,Description of any further conspicuous features:
"Agyneta mollis M (O. P.-Cambridge, 1871)",Male,"inconspicuous, generally dark",0.6,0.4-0.6; 0.6-0.8,equal in length,inconspicuous,yes,"unicolorous, inconspicuous",none,straight,distinctly less than d,inconspicuous,normal,distinctly smaller than ALE,none,none,unremarkable in size,none,unremarkable,smooth,yes,distinctly less than d,0.25,0.20-0.29,trichobothrium absent,none,two dorsal spines,2222,no spines,unremarkable,with conspicuous spines (single or tufts),unremarkable,with dorsal projections/conical elevations; margin with notches/bulges,complex,teeth absent,unremarkable,conspicuous,"Austria | Azerbaijan | Belarus | Belgium | Bulgaria | Czechia | Estonia | Finland | France | France / Corsica | Georgia | Germany | Greece | Hungary | Ireland | Italy | Italy / Sardinia | Latvia | Luxembourg | Moldova | Montenegro | Morocco | Netherlands | Northern Ireland | Poland | Portugal | Romania | Russia, Central | Russia, Eastern | Russia, Northern | Russia, Southern | Serbia | Slovakia | Spain | Sweden | Switzerland | Ukraine | United Kingdom |",,,,,Tibia I with a retrolateral bristle
"Agyneta mollis W (O. P.-Cambridge, 1871)",Female,"inconspicuous, generally dark",0.7,0.6-0.8,equal in length,inconspicuous,yes,"unicolorous, inconspicuous",none,straight,distinctly less than d,,normal,distinctly smaller than ALE,none,none,unremarkable in size,none,unremarkable,smooth,yes,distinctly less than d,0.29,0.20-0.29,trichobothrium absent,none,two dorsal spines,2222,no spines,,,,,,,,,"Austria | Azerbaijan | Belarus | Belgium | Bulgaria | Czechia | Estonia | Finland | France | France / Corsica | Georgia | Germany | Greece | Hungary | Ireland | Italy | Italy / Sardinia | Latvia | Luxembourg | Moldova | Montenegro | Morocco | Netherlands | Northern Ireland | Poland | Portugal | Romania | Russia, Central | Russia, Eastern | Russia, Northern | Russia, Southern | Serbia | Slovakia | Spain | Sweden | Switzerland | Ukraine | United Kingdom |",not present/inconspicuous,with septum/medial structure,flat,"underlying structures (e.g., seminal receptacles) visible",Tibia I with a retrolateral bristle
"Agyneta mossica M (Schikora, 1993)",Male,"inconspicuous, generally dark",0.8,0.6-0.8; 0.8-1.0,equal in length,inconspicuous,yes,"unicolorous, inconspicuous",none,straight,distinctly less than d,inconspicuous,normal,about the same as ALE,none,none,unremarkable in size,none,unremarkable,smooth,yes,equal to d,0.23,0.20-0.29,trichobothrium absent,none,two dorsal spines,2222,no spines,unremarkable,with conspicuous spines (single or tufts),with simple apophysis,with dorsal projections/conical elevations; margin with notches/bulges,complex,teeth present,unremarkable,conspicuous,"Finland | Germany | Ireland | Lithuania | Northern Ireland | Norway | Poland | Russia, Kaliningrad Region | Russia, Northern | Sweden | Ukraine | United Kingdom |",,,,,Tibia I with a retrolateral bristle. One tooth on paracymbium
"Agyneta mossica W (Schikora, 1993)",Female,"inconspicuous, generally dark",0.8,0.6-0.8; 0.8-1.0,equal in length,inconspicuous,yes,"unicolorous, inconspicuous",none,straight,distinctly less than d,,normal,about the same as ALE,none,none,unremarkable in size,none,unremarkable,smooth,yes,equal to d,0.22,0.20-0.29,trichobothrium absent,none,two dorsal spines,2222,no spines,,,,,,,,,"Finland | Germany | Ireland | Lithuania | Northern Ireland | Norway | Poland | Russia, Kaliningrad Region | Russia, Northern | Sweden | Ukraine | United Kingdom |",not present/inconspicuous,with septum/medial structure,protrudes,"underlying structures (e.g., seminal receptacles) visible",Tibia II with a retrolateral bristle
"Agyneta nigripes M (Simon, 1884)",Male,"inconspicuous, generally dark",0.86,0.8-1.0,equal in length,inconspicuous,yes,"unicolorous, inconspicuous",none,straight,distinctly less than d,inconspicuous,normal,distinctly smaller than ALE,none,none,unremarkable in size,none,unremarkable,smooth,yes,equal to d,0.3,0.30-0.39,trichobothrium absent,none,two dorsal spines,2222,no spines,unremarkable,with conspicuous spines (single or tufts),with simple apophysis,with dorsal projections/conical elevations; margin with notches/bulges,complex,teeth absent,unremarkable,conspicuous,"Austria | Faroe Islands | Finland | France | Iceland | Italy | Norway | Russia, Northern | Russia, Novaya Zemlya | Russia, Western | Spain | Svalbard | Sweden | Switzerland | United Kingdom |",,,,,
"Agyneta nigripes W (Simon, 1884)",Female,"inconspicuous, generally dark",0.7,0.6-0.8,equal in length,inconspicuous,yes,"unicolorous, inconspicuous",none,straight,distinctly less than d,,normal,distinctly smaller than ALE,none,none,unremarkable in size,none,unremarkable,smooth,yes,equal to d,0.21,0.20-0.29,trichobothrium absent,none,two dorsal spines,2222,no spines,,,,,,,,,"Austria | Faroe Islands | Finland | France | Iceland | Italy | Norway | Russia, Northern | Russia, Novaya Zemlya | Russia, Western | Spain | Svalbard | Sweden | Switzerland | United Kingdom |",not present/inconspicuous,with septum/medial structure,protrudes,"underlying structures (e.g., seminal receptacles) not visible",Body colouration very dark
"Agyneta olivacea M (Emerton, 1882)",Male,"inconspicuous, generally dark",0.82,0.8-1.0,shorter than prosoma,inconspicuous,yes,"unicolorous, inconspicuous",none,straight,distinctly less than d,inconspicuous,normal,distinctly smaller than ALE,none,none,unremarkable in size,none,unremarkable,smooth,yes,distinctly less than d,0.88,0.80-0.89,trichobothrium present,none,two dorsal spines,2222,no spines,unremarkable,with conspicuous spines (single or tufts),with simple apophysis,with dorsal projections/conical elevations; margin with notches/bulges,complex,teeth present,unremarkable,conspicuous,"Finland | Ireland | Latvia | Lithuania | Northern Ireland | Norway | Russia, Eastern | Russia, Northern | Sweden | United Kingdom |",,,,,
"Agyneta olivacea W (Emerton, 1882)",Female,"inconspicuous, generally dark",0.82,0.8-1.0,shorter than prosoma,inconspicuous,yes,"unicolorous, inconspicuous",none,straight,distinctly less than d,,normal,distinctly smaller than ALE,none,none,unremarkable in size,none,unremarkable,smooth,yes,distinctly less than d,0.9,0.90-0.99,trichobothrium present,none,two dorsal spines,2222,no spines,,,,,,,,,"Finland | Ireland | Latvia | Lithuania | Northern Ireland | Norway | Russia, Eastern | Russia, Northern | Sweden | United Kingdom |",not present/inconspicuous,with septum/medial structure,protrudes,"underlying structures (e.g., seminal receptacles) visible",Female palp with slightly swollen tarsus
"Agyneta orites M (Thorell, 1875)",Male,"inconspicuous, generally dark",0.8,0.6-0.8; 0.8-1.0,shorter than prosoma,inconspicuous,yes,"unicolorous, inconspicuous",none,straight,equal to d,inconspicuous,normal,distinctly smaller than ALE,none,none,unremarkable in size,none,unremarkable,smooth,yes,equal to d,0.3,0.20-0.29; 0.30-0.39,trichobothrium absent,none,two dorsal spines,2222,no spines,unremarkable,with conspicuous spines (single or tufts),"with multiple, simple apophyses; with multiple, complex apophyses",margin with notches/bulges,complex,teeth absent,unremarkable,conspicuous,Austria | France | Germany | Italy | Liechtenstein | Spain | Switzerland |,,,,,
"Agyneta orites W (Thorell, 1875)",Female,"inconspicuous, generally dark",0.8,0.6-0.8; 0.8-1.0,equal in length,inconspicuous,yes,"unicolorous, inconspicuous",none,straight,distinctly less than d,,normal,distinctly smaller than ALE,none,none,unremarkable in size,none,unremarkable,smooth,yes,equal to d,0.25,0.20-0.29; 0.30-0.39,trichobothrium absent,none,two dorsal spines,2222,no spines,,,,,,,,,Austria | France | Germany | Italy | Liechtenstein | Spain | Switzerland |,not present/inconspicuous,with septum/medial structure,protrudes,"underlying structures (e.g., seminal receptacles) visible",
"Agyneta pseudorurestris M Wunderlich, 1980",Male,"inconspicuous, generally dark",0.79,0.6-0.8,equal in length,inconspicuous,yes,"unicolorous, inconspicuous",none,straight,distinctly less than d,inconspicuous,normal,distinctly smaller than ALE,none,none,unremarkable in size,none,unremarkable,smooth,yes,equal to d,0.25,0.20-0.29,trichobothrium absent,none,two dorsal spines,2222,no spines,unremarkable,unremarkable,"with multiple, simple apophyses",with dorsal projections/conical elevations; margin with notches/bulges,complex,teeth absent,unremarkable,conspicuous,Algeria | Cyprus | Egypt | France | France / Corsica | Greece | Greece / Crete | Italy / Sardinia | Portugal | Spain | Spain / Balearic Islands | Tunisia |,,,,,
"Agyneta pseudorurestris W Wunderlich, 1980",Female,"inconspicuous, generally dark",0.7,0.6-0.8,equal in length; longer than prosoma,inconspicuous,yes,"unicolorous, inconspicuous",none,straight,distinctly less than d,,normal,distinctly smaller than ALE,none,none,unremarkable in size,none,unremarkable,smooth,yes,equal to d,0.26,0.20-0.29,trichobothrium absent,none,two dorsal spines,2222,no spines,,,,,,,,,Algeria | Cyprus | Egypt | France | France / Corsica | Greece | Greece / Crete | Italy / Sardinia | Portugal | Spain | Spain / Balearic Islands | Tunisia |,not present/inconspicuous,with septum/medial structure,protrudes,"underlying structures (e.g., seminal receptacles) visible",
"Agyneta ramosa M Jackson, 1912",Male,"inconspicuous, generally dark",0.8,0.8-1.0,shorter than prosoma,inconspicuous,no,"unicolorous, inconspicuous",none,straight,distinctly less than d,inconspicuous,normal,distinctly smaller than ALE,none,none,unremarkable in size,none,unremarkable,smooth,yes,distinctly less than d,0.85,0.80-0.89,trichobothrium present,none,two dorsal spines,2222,no spines,unremarkable,with conspicuous spines (single or tufts),with simple apophysis,with dorsal projections/conical elevations; margin with notches/bulges,complex,teeth absent,unremarkable,conspicuous,"Armenia | Austria | Belarus | Belgium | Bulgaria | Czechia | Denmark | Estonia | Finland | France | Georgia | Germany | Greece | Ireland | Italy | Latvia | Liechtenstein | Lithuania | Luxembourg | Netherlands | Norway | Poland | Romania | Russia, Central | Russia, Eastern | Russia, Northern | Russia, Southern | Russia, Western | Slovakia | Sweden | Switzerland | Ukraine | United Kingdom |",,,,,
"Agyneta ramosa W Jackson, 1912",Female,"inconspicuous, generally dark",0.79,0.6-0.8,shorter than prosoma,inconspicuous,no,"unicolorous, inconspicuous",none,straight,distinctly less than d,,normal,distinctly smaller than ALE,none,none,unremarkable in size,none,unremarkable,smooth,yes,distinctly less than d,0.84,0.80-0.89,trichobothrium present,none,two dorsal spines,2222,no spines,,,,,,,,,"Armenia | Austria | Belarus | Belgium | Bulgaria | Czechia | Denmark | Estonia | Finland | France | Georgia | Germany | Greece | Ireland | Italy | Latvia | Liechtenstein | Lithuania | Luxembourg | Netherlands | Norway | Poland | Romania | Russia, Central | Russia, Eastern | Russia, Northern | Russia, Southern | Russia, Western | Slovakia | Sweden | Switzerland | Ukraine | United Kingdom |",not present/inconspicuous,with septum/medial structure,protrudes,"underlying structures (e.g., seminal receptacles) visible",Female palp with slightly swollen tarsus
"Agyneta ressli M (Wunderlich, 1973)",Male,"inconspicuous, generally dark",0.78,0.6-0.8,shorter than prosoma,inconspicuous,yes,"unicolorous, inconspicuous",none,straight,distinctly less than d,inconspicuous,normal,distinctly smaller than ALE,none,none,unremarkable in size,none,unremarkable,smooth,yes,equal to d,0.27,0.20-0.29,trichobothrium absent,none,two dorsal spines,2222,no spines,unremarkable,with conspicuous spines (single or tufts),"with multiple, simple apophyses",with dorsal projections/conical elevations; margin with notches/bulges,complex,teeth absent,unremarkable,conspicuous,Austria | Germany | Greece | Italy | Liechtenstein | North Macedonia | Switzerland |,,,,,
"Agyneta ressli W (Wunderlich, 1973)",Female,"inconspicuous, generally dark",0.78,0.6-0.8,equal in length,inconspicuous,yes,"unicolorous, inconspicuous",none,straight,distinctly less than d,,normal,distinctly smaller than ALE,none,none,unremarkable in size,none,unremarkable,smooth,yes,equal to d,0.2,0.20-0.29,trichobothrium absent,none,two dorsal spines,2222,no spines,,,,,,,,,Austria | Germany | Greece | Italy | Liechtenstein | North Macedonia | Switzerland |,not present/inconspicuous,with septum/medial structure,protrudes,"underlying structures (e.g., seminal receptacles) visible",
"Agyneta rurestris M (C.L.Koch, 1836)",Male,conspicuous contrast legs/prosoma,0.9,0.8-1.0,shorter than prosoma,inconspicuous,no,"unicolorous, inconspicuous",none,straight,distinctly less than d,inconspicuous,normal,distinctly smaller than ALE,none,none,unremarkable in size,apophyses/teeth-like processes/tubercles,unremarkable,smooth,yes,equal to d,0.22,0.20-0.29,trichobothrium absent,none,two dorsal spines,2222,no spines,unremarkable,unremarkable,"with multiple, simple apophyses",with dorsal projections/conical elevations; margin with notches/bulges,complex,teeth absent,unremarkable,conspicuous,"Albania | Andorra | Armenia | Austria | Azerbaijan | Belarus | Belgium | Bulgaria | Croatia | Czechia | Denmark | Estonia | Finland | France | France / Corsica | Georgia | Germany | Greece | Hungary | Ireland | Italy | Italy / Sicily | Latvia | Liechtenstein | Lithuania | Luxembourg | Malta | Moldova | Montenegro | Netherlands | North Macedonia | Northern Ireland | Norway | Poland | Portugal | Romania | Russia, Central | Russia, Eastern | Russia, Kaliningrad Region | Russia, Northern | Russia, Southern | Russia, Western | Serbia | Slovakia | Slovenia | Spain | Spain / Balearic Islands | Sweden | Switzerland | Turkey (Asia) | Ukraine | United Kingdom |",,,,,
"Agyneta rurestris W (C.L.Koch, 1836)",Female,"inconspicuous, generally dark; conspicuous contrast legs/prosoma",0.76,0.6-0.8,shorter than prosoma; equal in length,inconspicuous,no,"unicolorous, inconspicuous",none,straight,distinctly less than d,,normal,distinctly smaller than ALE,none,none,unremarkable in size,none,unremarkable,smooth,yes,equal to d,0.23,0.20-0.29,trichobothrium absent,none,two dorsal spines,2222,no spines,,,,,,,,,"Albania | Andorra | Armenia | Austria | Azerbaijan | Belarus | Belgium | Bulgaria | Croatia | Czechia | Denmark | Estonia | Finland | France | France / Corsica | Georgia | Germany | Greece | Hungary | Ireland | Italy | Italy / Sicily | Latvia | Liechtenstein | Lithuania | Luxembourg | Malta | Moldova | Montenegro | Netherlands | North Macedonia | Northern Ireland | Norway | Poland | Portugal | Romania | Russia, Central | Russia, Eastern | Russia, Kaliningrad Region | Russia, Northern | Russia, Southern | Russia, Western | Serbia | Slovakia | Slovenia | Spain | Spain / Balearic Islands | Sweden | Switzerland | Turkey (Asia) | Ukraine | United Kingdom |",not present/inconspicuous,with septum/medial structure,protrudes,"underlying structures (e.g., seminal receptacles) not visible; underlying structures (e.g., seminal receptacles) visible",
"Agyneta saxatilis M (Blackwall, 1844)",Male,"inconspicuous, generally dark",0.85,0.8-1.0,shorter than prosoma,inconspicuous,yes,"unicolorous, inconspicuous",none,straight,distinctly less than d,inconspicuous,normal,about the same as ALE,none,none,unremarkable in size,none,unremarkable,smooth,yes,distinctly less than d,0.24,0.20-0.29,trichobothrium absent,none,two dorsal spines,2222,no spines,unremarkable,with conspicuous spines (single or tufts),with simple apophysis,with dorsal projections/conical elevations; margin with notches/bulges,complex,teeth present,unremarkable,conspicuous,"Albania | Austria | Belgium | Croatia | Czechia | Denmark | Estonia | Finland | France | Germany | Hungary | Ireland | Italy | Italy / Sicily | Latvia | Lithuania | Luxembourg | Netherlands | Northern Ireland | Norway | Poland | Romania | Russia, Central | Russia, Eastern | Russia, Northern | Russia, Southern | Russia, Western | Slovakia | Slovenia | Spain | Sweden | Switzerland | Ukraine | United Kingdom |",,,,,Tibia I with a retrolateral bristle. Two teeth on paracymbium
"Agyneta saxatilis W (Blackwall, 1844)",Female,"inconspicuous, generally dark",0.8,0.6-0.8; 0.8-1.0,shorter than prosoma,inconspicuous,yes,"unicolorous, inconspicuous",none,straight,distinctly less than d,,normal,about the same as ALE,none,none,unremarkable in size,none,unremarkable,smooth,yes,distinctly less than d,0.21,0.20-0.29,trichobothrium absent,none,two dorsal spines,2222,no spines,,,,,,,,,"Albania | Austria | Belgium | Croatia | Czechia | Denmark | Estonia | Finland | France | Germany | Hungary | Ireland | Italy | Italy / Sicily | Latvia | Lithuania | Luxembourg | Netherlands | Northern Ireland | Norway | Poland | Romania | Russia, Central | Russia, Eastern | Russia, Northern | Russia, Southern | Russia, Western | Slovakia | Slovenia | Spain | Sweden | Switzerland | Ukraine | United Kingdom |",not present/inconspicuous,with septum/medial structure,protrudes,"underlying structures (e.g., seminal receptacles) visible",Tibia I with a retrolateral bristle
"Agyneta similis M (Kulczynski, 1926)",Male,"inconspicuous, generally dark",0.92,0.8-1.0,equal in length,inconspicuous,yes,"unicolorous, inconspicuous",none,straight,distinctly less than d,inconspicuous,normal,about the same as ALE,none,none,unremarkable in size,none,unremarkable,smooth,yes,equal to d,0.31,0.30-0.39,trichobothrium absent,none,two dorsal spines,2222,no spines,unremarkable,unremarkable,"with multiple, simple apophyses",with dorsal projections/conical elevations; margin with notches/bulges,complex,teeth absent,unremarkable,conspicuous,"Finland | Iceland | Norway | Romania | Russia, Eastern | Russia, Northern | Russia, Novaya Zemlya | Sweden |",,,,,
